iter	Logloss	Accuracy
793	0.2647399863	0.963852479
794	0.2644960223	0.9637710657
795	0.2643867091	0.9637710657
796	0.2642049049	0.964096719
797	0.2639014701	0.964096719
798	0.2636441159	0.964340959
799	0.26345742	0.9641781324
800	0.2632769927	0.9642595457
801	0.2630195278	0.964096719
802	0.2628348531	0.964096719
803	0.2626191055	0.9641781324
804	0.2623357742	0.964340959
805	0.2620811043	0.9644223724
806	0.2618529273	0.9645037857
807	0.2616009401	0.9644223724
808	0.2613038739	0.9646666124
809	0.2609962179	0.9649922657
810	0.2607235429	0.9653179191
811	0.2605411035	0.9655621591
812	0.2603856509	0.9658063991
813	0.2600728426	0.9656435724
814	0.2600594531	0.9656435724
815	0.2597497522	0.9661320524
816	0.2595021705	0.9662134658
817	0.2592784343	0.9658878124
818	0.2590493899	0.9661320524
819	0.2589196573	0.9661320524
820	0.2586197819	0.9658063991
821	0.258493859	0.9656435724
822	0.2583308369	0.9658063991
823	0.2580987207	0.9656435724
824	0.2578213765	0.9661320524
825	0.2577770329	0.9662134658
826	0.257553983	0.9662948791
827	0.2573258952	0.9662948791
828	0.2572282944	0.9663762924
829	0.2569745417	0.9665391191
830	0.2566755977	0.9668647724
831	0.2564383864	0.9668647724
832	0.2562531778	0.9671904258
833	0.2560837092	0.9671090125
834	0.2559489576	0.9670275991
835	0.2556671019	0.9673532525
836	0.2554230505	0.9675160791
837	0.2552152568	0.9670275991
838	0.2549629278	0.9673532525
839	0.2547210783	0.9673532525
840	0.2545346772	0.9675160791
841	0.2543790293	0.9673532525
842	0.2541555872	0.9677603191
843	0.2539244771	0.9679231458
844	0.2537500991	0.9681673858
845	0.2535712691	0.9682487992
846	0.2532972239	0.9685744525
847	0.2530612279	0.9691443458
848	0.2528806126	0.9688186925
849	0.2526689362	0.9691443458
850	0.2524397775	0.9691443458
851	0.2522540892	0.9693071725
852	0.2520120167	0.9691443458
853	0.2518288664	0.9691443458
854	0.2516499051	0.9690629325
855	0.251414027	0.9688186925
856	0.251176929	0.9687372792
857	0.2509597331	0.9688186925
858	0.2507675058	0.9689001058
859	0.2506314687	0.9689001058
860	0.2504217946	0.9695514125
861	0.2502854858	0.9693885859
862	0.2501379643	0.9693885859
863	0.2499257121	0.9693885859
864	0.2496606075	0.9695514125
865	0.2495118156	0.9698770659
866	0.249247548	0.9697142392
867	0.249075726	0.9698770659
868	0.2488220259	0.9699584792
869	0.2485533493	0.9698770659
870	0.2483401273	0.9702027192
871	0.2482135177	0.9702027192
872	0.2479980008	0.9705283725
873	0.2478838596	0.9705283725
874	0.2476596325	0.9706097859
875	0.2474368812	0.9706097859
876	0.2473157578	0.9706097859
877	0.247158355	0.9707726126
878	0.2469140308	0.9707726126
879	0.2466677305	0.9710168526
880	0.2464087336	0.9712610926
